Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip
986 INFUSION PHARMACY #1 INC,LSC 101414,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",ANAHEIM,California,ORANGE,92807
A & O SPECIALTY PHARMACY,LSC 101817,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",SALINAS,California,MONTEREY,93901
ACCREDO HEALTH GROUP INC,NSC 101280,Nonresident Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",WARRENDALE,Pennsylvania,OUT OF STATE,15086
ACCREDO HEALTH GROUP INC,NSC 101279,Nonresident Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",ORLANDO,Florida,OUT OF STATE,32822
ADVANCE CARE PHARMACY,LSC 99611,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",ESCONDIDO,California,SAN DIEGO,92025
ADVENTIST HEALTH AIS CANCER CENTER PHARMACY,LSC 101531,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BAKERSFIELD,California,KERN,93301
ADVENTIST HEALTH AND RIDEOUT,LSC 101196,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",MARYSVILLE,California,YUBA,95901
ADVENTIST HEALTH AND RIDEOUT,LSC 101197,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",MARYSVILLE,California,YUBA,95901
ADVENTIST HEALTH BAKERSFIELD - HOSPITAL PHARMACY,LSC 100489,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BAKERSFIELD,California,KERN,93301
ADVENTIST HEALTH DELANO,LSC 101519,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",DELANO,California,KERN,93215
ADVENTIST HEALTH GLENDALE,LSC 101368,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",GLENDALE,California,LOS ANGELES,91206
ADVENTIST HEALTH HANFORD,LSC 100584,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",HANFORD,California,KINGS,93230
ADVENTIST HEALTH HOWARD MEMORIAL,LSC 100713,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",WILLITS,California,MENDOCINO,95490
ADVENTIST HEALTH LODI MEMORIAL HOSPITAL PHARMACY 1STFLR NORTHWING,LSC 100845,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LODI,California,SAN JOAQUIN,95240
ADVENTIST HEALTH MENDOCINO COAST,LSC 101566,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",FORT BRAGG,California,MENDOCINO,95437
ADVENTIST HEALTH SIMI VALLEY,LSC 101217,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SIMI VALLEY,California,VENTURA,93065
ADVENTIST HEALTH SIMI VALLEY,LSC 101218,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SIMI VALLEY,California,VENTURA,93065
ADVENTIST HEALTH SONORA,LSC 101199,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SONORA,California,TUOLUMNE,95370
ADVENTIST HEALTH SONORA-PHARMACY,LSC 99918,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",SONORA,California,TUOLUMNE,95370
ADVENTIST HEALTH SPECIALTY BAKERSFIELD,LSC 101888,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BAKERSFIELD,California,KERN,93308
ADVENTIST HEALTH ST HELENA HOSPITAL CANCER CENTER PHARMACY,LSC 100022,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",ST HELENA,California,NAPA,94574
ADVENTIST HEALTH ST HELENA HOSPITAL INPATIENT PHARMACY,LSC 100021,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",ST HELENA,California,NAPA,94574
ADVENTIST HEALTH TEHACHAPI VALLEY,LSC 101256,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",TEHACHAPI,California,KERN,93561
ADVENTIST HEALTH TULARE,LSC 101447,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",TULARE,California,TULARE,93274
ADVENTIST HEALTH UKIAH VALLEY,LSC 101710,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",UKIAH,California,MENDOCINO,95482
ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,LSC 101880,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",MONTEBELLO,California,LOS ANGELES,90640
AHMC ANAHEIM REGIONAL MEDICAL CENTER - MAIN PHARMACY,LSC 100381,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",ANAHEIM,California,ORANGE,92801
AHMC SETON MEDICAL CENTER LLC,LSC 101594,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",DALY CITY,California,SAN MATEO,94015
ALAMEDA HOSPITAL,LSE 100487,Sterile Compounding Pharmacy (Government Owned),CLEAR,"May 1, 2025",ALAMEDA,California,ALAMEDA,94501
