Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip,LAT,LONG,isGovernment,isSatellite,Facility Type,Specialties,Conditions,Registered Outsourcer,Accreditations,URL
986 INFUSION PHARMACY #1 INC,LSC 101414,Sterile Compounding Pharmacy,CLEAR,2025-07-01,ANAHEIM,CA,ORANGE,92807,33.848733,-117.788357,False,False,Infusion Center,,,,,
A & O SPECIALTY PHARMACY,LSC 101817,Sterile Compounding Pharmacy,CLEAR,2025-03-01,SALINAS,CA,MONTEREY,93901,36.636344,-121.623978,False,False,Sterile Compounding Pharmacy,"Hormone Replacement Therapy (HRT), Veterinary, Dermatology, Pain Management, Gastroenterology, Ophthalmology, Oncology","Erectile Dysfunction, Thyroid Dysfunction",False,"PCCA, IACP, PCAB",https://www.aocompounding.com
ACCREDO HEALTH GROUP INC,NSC 101280,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-12-01,WARRENDALE,PA,,15086,40.674947, -80.106364,False,False,Infusion Center,,,,,
ACCREDO HEALTH GROUP INC,NSC 101279,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-12-01,ORLANDO,FL,,32822,28.489898, -81.290154,False,False,Infusion Center,,,,,
ADVANCE CARE PHARMACY,LSC 99611,Sterile Compounding Pharmacy,CLEAR,2025-07-01,ESCONDIDO,CA,SAN DIEGO,92025,33.102005,-117.080419,False,False,Sterile Compounding Pharmacy,"Hospice, Long Term Care, Pain Management, Antibiotics, Total Parenteral Nutrition (TPN)",Terminally Ill,False,,https://www.advancecarepharmacy.com
ADVENTIST HEALTH AIS CANCER CENTER PHARMACY,LSC 101531,Sterile Compounding Pharmacy,CLEAR,2025-11-01,BAKERSFIELD,CA,KERN,93301,35.384336,-119.020562,False,False,Medical Facility,,,,,
ADVENTIST HEALTH AND RIDEOUT,LSC 101196,Sterile Compounding Pharmacy,CLEAR,2025-03-01,MARYSVILLE,CA,YUBA,95901,39.223939,-121.494050,False,False,Medical Facility,,,,,
ADVENTIST HEALTH AND RIDEOUT,LSC 101197,Sterile Compounding Pharmacy,CLEAR,2025-03-01,MARYSVILLE,CA,YUBA,95901,39.223939,-121.494050,False,False,Medical Facility,,,,,
ADVENTIST HEALTH BAKERSFIELD - HOSPITAL PHARMACY,LSC 100489,Sterile Compounding Pharmacy,CLEAR,2025-11-01,BAKERSFIELD,CA,KERN,93301,35.384336,-119.020562,False,False,Medical Facility,,,,,
ADVENTIST HEALTH DELANO,LSC 101519,Sterile Compounding Pharmacy,CLEAR,2025-12-01,DELANO,CA,KERN,93215,35.779507,-119.200825,False,False,Medical Facility,,,,,
ADVENTIST HEALTH GLENDALE,LSC 101368,Sterile Compounding Pharmacy,CLEAR,2025-05-01,GLENDALE,CA,LOS ANGELES,91206,34.160359,-118.213769,False,False,Medical Facility,,,,,
ADVENTIST HEALTH HANFORD,LSC 100584,Sterile Compounding Pharmacy,CLEAR,2025-11-01,HANFORD,CA,KINGS,93230,36.292230,-119.622676,False,False,Medical Facility,,,,,
ADVENTIST HEALTH HOWARD MEMORIAL,LSC 100713,Sterile Compounding Pharmacy,CLEAR,2025-10-01,WILLITS,CA,MENDOCINO,95490,39.492842,-123.340973,False,False,Medical Facility,,,,,
ADVENTIST HEALTH LODI MEMORIAL HOSPITAL PHARMACY 1STFLR NORTHWING,LSC 100845,Sterile Compounding Pharmacy,CLEAR,2025-06-01,LODI,CA,SAN JOAQUIN,95240,38.114388,-121.144658,False,False,Medical Facility,,,,,
ADVENTIST HEALTH MENDOCINO COAST,LSC 101566,Sterile Compounding Pharmacy,CLEAR,2025-07-01,FORT BRAGG,CA,MENDOCINO,95437,39.487185,-123.741963,False,False,Medical Facility,,,,,
ADVENTIST HEALTH SIMI VALLEY,LSC 101217,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SIMI VALLEY,CA,VENTURA,93065,34.258405,-118.775026,False,False,Medical Facility,,,,,
ADVENTIST HEALTH SIMI VALLEY,LSC 101218,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SIMI VALLEY,CA,VENTURA,93065,34.258405,-118.775026,False,False,Medical Facility,,,,,
ADVENTIST HEALTH SONORA,LSC 101199,Sterile Compounding Pharmacy,CLEAR,2025-11-01,SONORA,CA,TUOLUMNE,95370,37.984549,-120.349264,False,False,Medical Facility,,,,,
ADVENTIST HEALTH SONORA-PHARMACY,LSC 99918,Sterile Compounding Pharmacy,CLEAR,2025-05-01,SONORA,CA,TUOLUMNE,95370,37.984549,-120.349264,False,False,Medical Facility,,,,,
ADVENTIST HEALTH SPECIALTY BAKERSFIELD,LSC 101888,Sterile Compounding Pharmacy,CLEAR,2025-11-01,BAKERSFIELD,CA,KERN,93308,35.621087,-118.789677,False,False,Medical Facility,,,,,
ADVENTIST HEALTH ST HELENA HOSPITAL CANCER CENTER PHARMACY,LSC 100022,Sterile Compounding Pharmacy,CLEAR,2025-04-01,ST HELENA,CA,NAPA,94574,38.542448,-122.419923,False,False,Medical Facility,,,,,
ADVENTIST HEALTH ST HELENA HOSPITAL INPATIENT PHARMACY,LSC 100021,Sterile Compounding Pharmacy,CLEAR,2025-04-01,ST HELENA,CA,NAPA,94574,38.542448,-122.419923,False,False,Medical Facility,,,,,
ADVENTIST HEALTH TEHACHAPI VALLEY,LSC 101256,Sterile Compounding Pharmacy,CLEAR,2025-10-01,TEHACHAPI,CA,KERN,93561,35.118772,-118.493811,False,False,Medical Facility,,,,,
ADVENTIST HEALTH TULARE,LSC 101447,Sterile Compounding Pharmacy,CLEAR,2025-03-01,TULARE,CA,TULARE,93274,36.178091,-119.370752,False,False,Medical Facility,,,,,
ADVENTIST HEALTH UKIAH VALLEY,LSC 101710,Sterile Compounding Pharmacy,CLEAR,2025-10-01,UKIAH,CA,MENDOCINO,95482,39.135023,-123.259338,False,False,Medical Facility,,,,,
ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,LSC 101880,Sterile Compounding Pharmacy,CLEAR,2025-09-01,MONTEBELLO,CA,LOS ANGELES,90640,34.015444,-118.111012,False,False,Medical Facility,,,,,
AHMC ANAHEIM REGIONAL MEDICAL CENTER - MAIN PHARMACY,LSC 100381,Sterile Compounding Pharmacy,CLEAR,2025-07-01,ANAHEIM,CA,ORANGE,92801,33.844983,-117.952151,False,False,Medical Facility,,,,,
AHMC SETON MEDICAL CENTER LLC,LSC 101594,Sterile Compounding Pharmacy,CLEAR,2026-01-01,DALY CITY,CA,SAN MATEO,94015,37.681264,-122.480589,False,False,Medical Facility,,,,,
ALAMEDA HOSPITAL,LSE 100487,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-05-01,ALAMEDA,CA,ALAMEDA,94501,37.773793,-122.278115,True,False,Medical Facility,,,,,
ALERACARE PHARMACY CALIFORNIA,LSC 101805,Sterile Compounding Pharmacy,CLEAR,2025-11-01,VAN NUYS,CA,LOS ANGELES,91406,34.195685,-118.490752,False,False,Infusion Center,,,,,
ALHAMBRA HOSPITAL MEDICAL CENTER,LSC 99917,Sterile Compounding Pharmacy,CLEAR,2026-01-01,ALHAMBRA,CA,LOS ANGELES,91801,34.090728,-118.127527,False,False,Medical Facility,,,,,
ALHAMBRA HOSPITAL MEDICAL CENTER,LSC 101472,Sterile Compounding Pharmacy,CLEAR,2026-01-01,ALHAMBRA,CA,LOS ANGELES,91801,34.090728,-118.127527,False,False,Medical Facility,,,,,
ALLIANCERX WALGREENS PHARMACY #15443,NSC 100917,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-04-01,FRISCO,TX,,75033,,,False,False,Infusion Center,,,,,
ALLIANCERX WALGREENS PHARMACY #16287,NSC 101051,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-11-01,PITTSBURGH,PA,,15275,,,False,False,Infusion Center,,,,,
ALTA BATES SUMMIT MED CTR HERRICK INFUSION PHARMACY,LSC 101302,Sterile Compounding Pharmacy,CLEAR,2025-07-01,BERKELEY,CA,ALAMEDA,94704,37.866536,-122.257996,False,False,Medical Facility,,,,,
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,LSC 101192,Sterile Compounding Pharmacy,CLEAR,2025-03-01,BERKELEY,CA,ALAMEDA,94705,37.865183,-122.238209,False,False,Medical Facility,,,,,
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS RM G744,LSC 101187,Sterile Compounding Pharmacy,CLEAR,2025-03-01,OAKLAND,CA,ALAMEDA,94609,37.834403,-122.264368,False,False,Medical Facility,,,,,
AMBROSIA HEALTHCARE INC,LSC 99935,Sterile Compounding Pharmacy,CLEAR,2025-06-01,PALM DESERT,CA,RIVERSIDE,92211,33.765401,-116.334205,False,False,Sterile Compounding Pharmacy,"Veterinary, Pain Management, Hospice, Hormone Replacement Therapy (HRT), Long Term Care",,False,IACP,https://www.ambrosiahc.com
"AMERICAN OUTCOMES MANAGEMENT, LP DBA AOM INFUSION",NSC 101746,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-02-01,FORTH WORTH,TX,,76109,32.700650, -97.386965,False,False,Infusion Center,,,,,
AMERICAN RIVER INFUSION SERVICES,LSC 101698,Sterile Compounding Pharmacy,CLEAR,2025-09-01,SACRAMENTO,CA,SACRAMENTO,95834,38.635653,-121.518416,False,False,Infusion Center,,,,,
AMERIPHARMA,LSC 100895,Sterile Compounding Pharmacy,CLEAR,2026-01-01,ORANGE,CA,ORANGE,92868,33.788145,-117.876550,False,False,Infusion Center,,,,,
ANTELOPE VALLEY MEDICAL CENTER IV ROOM,LSE 101481,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-08-01,LANCASTER,CA,LOS ANGELES,93534,34.713292,-118.152920,True,False,Medical Facility,,,,,
APEX INFUSION PHARMACY,LSC 101934,Sterile Compounding Pharmacy,CLEAR,2025-06-01,SIGNAL HILL,CA,LOS ANGELES,90755,33.803431,-118.169770,False,False,Infusion Center,,,,,
ARROWHEAD REGIONAL MEDICAL CENTER PHARMACY,LSE 99997,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-10-01,COLTON,CA,SAN BERNARDINO,92324,34.024520,-117.289255,True,False,Medical Facility,,,,,
BAKERSFIELD MEMORIAL HOSPITAL,LSC 101845,Sterile Compounding Pharmacy,CLEAR,2026-01-01,BAKERSFIELD,CA,KERN,93301,35.384336,-119.020562,False,False,Medical Facility,,,,,
BAKERSFIELD MEMORIAL HOSPITAL PHARMACY,LSC 101683,Sterile Compounding Pharmacy,CLEAR,2026-01-01,BAKERSFIELD,CA,KERN,93301,35.384336,-119.020562,False,False,Medical Facility,,,,,
BAKERSFIELD REHABILITATION HOSPITAL,LSC 101703,Sterile Compounding Pharmacy,CLEAR,2025-02-01,BAKERSFIELD,CA,KERN,93306,35.468183,-118.779649,False,False,Medical Facility,,,,,
BANNER LASSEN MEDICAL CENTER 1ST FLOOR ROOM 523,LSC 100034,Sterile Compounding Pharmacy,CLEAR,2025-03-01,SUSANVILLE,CA,LASSEN,96130,40.551757,-120.675673,False,False,Medical Facility,,,,,
BARLOW HOSPITAL PHARMACY,LSC 101656,Sterile Compounding Pharmacy,CLEAR,2025-07-01,LOS ANGELES,CA,LOS ANGELES,90026,34.080017,-118.262643,False,False,Medical Facility,,,,,
BARSTOW COMMUNITY HOSPITAL,LSC 101582,Sterile Compounding Pharmacy,CLEAR,2025-07-01,BARSTOW,CA,SAN BERNARDINO,92311,34.980294,-116.964449,False,False,Medical Facility,,,,,
BARTON MEMORIAL HOSPITAL PHARMACY,LSC 100403,Sterile Compounding Pharmacy,CLEAR,2025-02-01,SOUTH LAKE TAHOE,CA,EL DORADO,96150,38.869825,-120.008594,False,False,Medical Facility,,,,,
BASIC HOME INFUSION INC,NSC 101063,Nonresident Sterile Compounding Pharmacy,CLEAR,2024-04-01,WAYNE,NJ,,07470,40.945855, -74.245077,False,False,Infusion Center,,,,,
